feature_name;metadata_slide;metadata_roi;parameter;result;cells_quantities;cell_size;state_state_colocalisation;state_border_colocalisation;dbscan_analysis;neighbors_analysis;aggregation_same_for_all;aggregation_wheighted_sum_by_cell_fraction;aggregation_wheighted_sum_by_physiopart_fraction;aggregation_mean;aggregation_by_sum;aggregation_specific_function;feature_build_during_aggregation;feature_removed_during_aggregation;add_during_postprocessing;analysed_in_a_plot;4_rois_3_times_2_pop_analysis;4_rois_3_times_1_pop_analysis
pcw;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
slide_num;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
slide_shape;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
slide_tile_shape;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_tiles;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
pixel_resolution;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
sex;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
area_tissue_slide;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
fraction_tissue_slide;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_tiles_tissue_100_slide;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_tiles_tissue_sup_75_slide;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_tiles_tissue_sup_5_slide;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
model_segmentation_slide;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
model_classification_slide;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_nuclei_in_slide;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
mean_nuclei_density_slide;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
std_nuclei_density_slide;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_cells_slide;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
n_A_cells_slide;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
n_A_cells_proba_slide;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
mean_n_cells_per_tile_slide;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
std_n_cells_per_tile_slide;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
